what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1490017541168
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1490017541168
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1490017541169
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1490017541169
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1490017541170
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1490017541170
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1490017541170
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1490017541171
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1490017541171
os,sysinfo,,,"win32",1490017541174
arch,sysinfo,,,"x86_64",1490017541174
ws,sysinfo,,,"win32",1490017541174
locale,sysinfo,,,"it_IT",1490017541174
processors,sysinfo,,,"4",1490017541174
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1490017541174
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1490017541174
java.specification.name,sysinfo,,,"Java Platform API Specification",1490017541174
java.specification.vendor,sysinfo,,,"Oracle Corporation",1490017541174
java.specification.version,sysinfo,,,"1.7",1490017541174
java.vendor,sysinfo,,,"Oracle Corporation",1490017541174
java.version,sysinfo,,,"1.7.0_45",1490017541174
java.vm.info,sysinfo,,,"mixed mode",1490017541174
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1490017541174
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490017541174
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1490017541174
java.vm.specification.version,sysinfo,,,"1.7",1490017541174
java.vm.vendor,sysinfo,,,"Oracle Corporation",1490017541174
java.vm.version,sysinfo,,,"24.45-b08",1490017541174
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1490017541879
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1490017542045
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1490017542046
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1490017542152
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1490017542158
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1490017542378
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1490017542379
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1490017542399
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1490017542419
