what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864763
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864764
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266864764
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864764
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864765
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266864765
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864765
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864766
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266864766
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864766
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864767
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266864767
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864767
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864768
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266864768
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864769
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266864769
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865262
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865262
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865262
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865263
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865263
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865263
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865264
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865264
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865264
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865264
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865264
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865265
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865265
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865265
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865265
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865266
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865266
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865266
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865267
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865267
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865267
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1490266865267
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1490266865267
