what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489673181885
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489673181885
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489673232675
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489673232975
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489673233015
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489673235325
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489673235625
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489673235665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673261135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673261365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673272675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673272875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489673275395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673283010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673283210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673308130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673308360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489673313040
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489673660230
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489673716530
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489673719930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489673737910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489673748090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489673931800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674541837
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489674546987
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489674547277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489674565047
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489674566697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674567827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674570739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674570769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674572359
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674577044
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674577064
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489674698897
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489674699178
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489674699197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674734051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674873860
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674887380
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489674904480
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674904480
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489674906090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674910290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674912610
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1489674912620
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674912930
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674912950
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489674916778
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674916778
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489674946878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674960488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489674964508
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1489674964518
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674964618
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489674964638
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1489675033646
