what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498680820
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489498703692
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498716004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498718304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498722797
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498722839
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489498731214
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498734654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498736330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498739652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498739722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498751124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498766943
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498769850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489498779929
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498781211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489498786780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489498800209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498802383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498803637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498811212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498811258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489498816669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489498827234
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489498828627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498830274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498832224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498832248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498833755
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489498838643
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489498838674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498859389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498890232
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489498892478
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498916092
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498918071
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498928575
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498938812
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489498940941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498942008
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489498942009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498943250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498946194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498947833
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498947834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498949643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498952266
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489498952331
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489498952377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498955845
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489498955845
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489498963206
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489498981955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498982953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489498985254
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489498985407
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489498985442
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489499142617
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499142618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499160911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499163196
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499163406
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499163452
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489499228586
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499302995
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489499303046
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499303046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499436669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499449775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499493134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499495810
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499496005
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499496037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489499517260
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489499521962
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489499522628
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499537591
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489499590449
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499595358
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489499638313
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499638313
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489499642174
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489499643099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489499649912
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489499651222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499652748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499654942
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499655129
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499655170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499694514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499700506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499704235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499872217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499872520
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489499878129
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499878129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499897563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499899684
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499899834
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499899851
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1489499951585
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499951585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499959551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489499962173
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499962336
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1489499962374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489500043455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489500065244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489500084515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489500091759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489500098797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489500196354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489500203088
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489500207553
